11/08/2019,58:37.1,INVALID,Ignore,TCP,159.133.214.141:50185,->,205.87.27.134:44542,3.203.201.196:0,->,3.203.201.196:0,2,M,0
11/08/2019,58:37.5,INVALID,Ignore,TCP,159.133.214.169:50984,->,205.87.27.134:54161,3.203.201.196:0,->,3.203.201.196:0,1.7,M,0
11/08/2019,58:37.5,INVALID,Ignore,TCP,159.133.214.169:50984,->,205.87.27.134:54163,3.203.201.196:0,->,3.203.201.196:0,1.1,M,0
11/08/2019,58:38.3,INVALID,Ignore,TCP,159.133.214.168:50952,->,205.87.27.134:45692,3.203.201.196:0,->,3.203.201.196:0,2.7,M,0
11/08/2019,58:40.6,INVALID,Ignore,TCP,205.87.27.134:45690,->,159.133.214.168:50952,3.203.201.196:0,->,3.203.201.196:0,513,M,0
11/08/2019,58:42.2,INVALID,Ignore,TCP,159.133.214.168:50952,->,205.87.27.134:45690,3.203.201.196:0,->,3.203.201.196:0,1.2,M,0
11/08/2019,58:42.4,INVALID,Ignore,TCP,156.245.229.219:63530,->,159.133.203.223:22,3.203.201.196:0,->,3.203.201.196:0,2.2,M,0
11/08/2019,58:43.5,INVALID,Ignore,TCP,159.133.214.140:50625,->,205.87.27.134:47111,3.203.201.196:0,->,3.203.201.196:0,1.4,M,0
11/08/2019,58:44.1,INVALID,Ignore,TCP,159.133.203.227:443,->,216.132.153.151:3002,3.203.201.196:0,->,3.203.201.196:0,77.4,M,0
11/08/2019,58:44.8,INVALID,Ignore,TCP,159.133.214.169:50984,->,205.87.27.134:54157,3.203.201.196:0,->,3.203.201.196:0,1.6,M,0
11/08/2019,58:45.1,INVALID,Ignore,TCP,159.133.214.136:50591,->,205.87.27.134:42386,3.203.201.196:0,->,3.203.201.196:0,2.7,M,0
11/08/2019,58:46.2,INVALID,Ignore,TCP,205.87.27.134:54157,->,159.133.214.169:50984,3.203.201.196:0,->,3.203.201.196:0,625.6,M,0
11/08/2019,58:46.3,INVALID,Ignore,TCP,154.71.104.96:55807,->,159.133.214.168:50862,3.203.201.196:0,->,3.203.201.196:0,3.9,M,0
11/08/2019,58:47.1,INVALID,Ignore,TCP,159.133.203.227:443,->,99.185.134.54:63130,3.203.201.196:0,->,3.203.201.196:0,423,M,0
11/08/2019,58:49.6,INVALID,Ignore,TCP,159.133.203.223:22,->,216.195.175.138:52428,3.203.201.196:0,->,3.203.201.196:0,63,M,0
11/08/2019,58:49.8,INVALID,Ignore,TCP,159.133.214.141:50494,->,205.87.27.134:46761,3.203.201.196:0,->,3.203.201.196:0,1.3,M,0
11/08/2019,58:50.3,INVALID,Ignore,TCP,205.87.27.134:47107,->,159.133.214.140:50625,3.203.201.196:0,->,3.203.201.196:0,1.4,G,0
11/08/2019,58:51.0,INVALID,Ignore,TCP,205.87.27.134:43657,->,159.133.214.169:50510,3.203.201.196:0,->,3.203.201.196:0,2.1,G,0
11/08/2019,58:51.2,INVALID,Ignore,TCP,205.87.27.134:44542,->,159.133.214.141:50185,3.203.201.196:0,->,3.203.201.196:0,2.3,G,0
11/08/2019,58:51.2,INVALID,Ignore,TCP,205.87.27.134:43661,->,159.133.214.169:50510,3.203.201.196:0,->,3.203.201.196:0,2.4,G,0
