Time,LOND_NEWY_in,LOND_NEWY_out,AMST_BOST_in,AMST_BOST_out,AOFA_LOND_in,AOFA_LOND_out,CERN-513_WASH_in,CERN-513_WASH_out
01/03/2018 12:00,9655776594,6581757178,2212306602,8146590152,42135545640,29837697348,1855723872,2625197338
01/03/2018 13:00,8945473165,11028240603,4201220608,4159374942,36760888864,27090188402,2662143849,3447110196
01/03/2018 14:00,10305549710,12935371121,7337358442,5154419636,36858398049,27031914966,3404141054,3064035973
01/03/2018 15:00,9625237556,16957712877,8979042755,4788854276,23879899735,24593475538,1231724179,1681791335
01/03/2018 16:00,8066511926,35727564464,8810195217,5265636763,24804994278,25717902281,364046800.8,2889337592
01/03/2018 17:00,8138630328,5957706464,8653174322,5934008266,28855079574,27018456127,604765972.8,3294263859
01/03/2018 18:00,8140702553,7665357417,8322654736,2271996751,28251489648,29763225027,764741530.1,3592890365
01/03/2018 19:00,9174994273,14165963349,6058110862,5721376108,25502221152,31199938208,775723935,2367406853
01/03/2018 20:00,8930284478,7096265727,4495320044,1618509658,27383158983,29949122773,637083248.3,2816049789
01/03/2018 21:00,6613236204,11560717533,5741087859,5523837229,26149401325,25163441820,856439686.8,10262431739
01/03/2018 22:00,13817042570,4843558278,5142926336,2614978998,28256332388,22563301626,1432833117,14415795107
01/03/2018 23:00,6697924305,2251277430,7943072308,2738071697,27480190660,20183945047,1357623637,3543525676
01/04/2018 00:00,3862292366,15518104315,7722610861,3337101865,34668837702,16665133042,1167571465,3695619940
01/04/2018 01:00,759798173.8,421930873.4,4642397408,2075328223,33620708498,16463848722,1448159938,14775915533
01/04/2018 02:00,1375923597,1605955508,3443706079,2202008707,33698649713,15121869986,2564591267,5853210656
01/04/2018 03:00,918347041.9,236373789.5,1526784046,2376925027,28777320084,12398435503,1103501146,2068074028
01/04/2018 04:00,1216710938,2782002890,1988948217,2111387673,29167424036,15680418608,825369062.9,2369612700
01/04/2018 05:00,1034058821,2240430177,2611864498,2180376731,24652124643,20045829683,1064100977,5858376978
01/04/2018 06:00,447885198.4,2918153979,5115344986,2480886372,28115138099,19933733812,2981175233,1307208007
01/04/2018 07:00,575655304.2,358419829.7,2035619383,2195977777,27514702522,16313298979,1967131001,4036132055
01/04/2018 08:00,1266338350,6264382468,3543521846,3061478994,30649121161,19628581688,2063331830,5151174537
01/04/2018 09:00,1827207402,559710424.8,6726626857,1890539120,23349268719,15184508120,1001106153,12590228820
01/04/2018 10:00,4903294697,7788038759,4633677564,4011957037,27223432349,19074912254,3993174533,3225698150
01/04/2018 11:00,7503133648,14782123784,6201265004,6370074707,22103210265,21437596269,3033840779,8508406528
01/04/2018 12:00,6232995333,24449449175,9368073755,7862417135,26669792681,20323975618,1972020667,6594506088
01/04/2018 13:00,11913737779,11143617549,8781487996,5399749899,27269947335,22669916801,2519423668,11985332524
01/04/2018 14:00,3193906314,2313897490,9177238760,6465941519,24155509075,35261389850,1151879188,6813000403
01/04/2018 15:00,11721705070,6530517018,7373092111,8740461247,24853392745,39091427566,1670254392,7128842064
01/04/2018 16:00,7804973472,11990259151,8450686017,6769269245,28371925704,48639516314,1672584708,3826365039
